sample R_cen R_tel R_not S L_cen L_tel L_not
H3K27me3-R1-CK2308_S42_L004_R1_001_multi_sorted 1453529 2155763 11997930 15765300 608470 1268159 17014522
H3K27me3-R1-CK6644_S41_L004_R1_001_multi_sorted 459067 870308 12825522 14271392 608470 1268159 17014522
H3K27me3-R1-SL362_S52_L005_R1_001_multi_sorted 758479 3829658 9860992 14590028 608470 1268159 17014522
H3K27me3-R1-SL363_S46_L004_R1_001_multi_sorted 752125 4613608 8854308 14384083 608470 1268159 17014522
H3K27me3-R1-SL364_S47_L004_R1_001_multi_sorted 925720 2459527 9365983 12892123 608470 1268159 17014522
H3K27me3-R1-SL365_S48_L004_R1_001_multi_sorted 505841 7627531 7452725 15831611 608470 1268159 17014522
H3K27me3-R1-SL366_S49_L004_R1_001_multi_sorted 395650 5533023 6913595 12980292 608470 1268159 17014522
H3K27me3-R1-SL367_S53_L005_R1_001_multi_sorted 456279 6459857 7751004 14868791 608470 1268159 17014522
H3K27me3-R1-SL368_S50_L004_R1_001_multi_sorted 580935 5944743 7698023 14367324 608470 1268159 17014522
H3K27me3-R1-SL369_S45_L004_R1_001_multi_sorted 1208272 1778493 13005633 16147667 608470 1268159 17014522
H3K27me3-R1-SL370_S51_L005_R1_001_multi_sorted 1016506 1770500 10597304 13528728 608470 1268159 17014522
H3K27me3-R1-SL371_S44_L004_R1_001_multi_sorted 1125957 1796170 12649968 15723523 608470 1268159 17014522
H3K27me3-R1-SL372_S43_L004_R1_001_multi_sorted 526825 8962228 7499463 17157651 608470 1268159 17014522
H3K27me3-R1-SL3_S40_L004_R1_001_multi_sorted 663046 7232204 12341099 20405893 608470 1268159 17014522
H3K27me3-R2-CK2308_S56_L005_R1_001_multi_sorted 1063080 1590402 9965762 12765718 608470 1268159 17014522
H3K27me3-R2-CK6644_S55_L005_R1_001_multi_sorted 376273 720052 10603906 11805347 608470 1268159 17014522
H3K27me3-R2-SL362_S61_L005_R1_001_multi_sorted 604543 2812467 8434680 11962897 608470 1268159 17014522
H3K27me3-R2-SL363_S62_L005_R1_001_multi_sorted 694524 4520855 7609359 12953933 608470 1268159 17014522
H3K27me3-R2-SL364_S63_L005_R1_001_multi_sorted 779948 2009893 9112448 12022869 608470 1268159 17014522
H3K27me3-R2-SL365_S64_L005_R1_001_multi_sorted 384277 5452405 5872172 11977682 608470 1268159 17014522
H3K27me3-R2-SL366_S65_L005_R1_001_multi_sorted 412073 5136954 7542511 13239901 608470 1268159 17014522
H3K27me3-R2-SL367_S66_L005_R1_001_multi_sorted 504353 6927741 8687719 16318551 608470 1268159 17014522
H3K27me3-R2-SL368_S67_L005_R1_001_multi_sorted 532273 5351123 7167304 13187019 608470 1268159 17014522
H3K27me3-R2-SL369_S60_L005_R1_001_multi_sorted 1104369 1630289 12154322 15089408 608470 1268159 17014522
H3K27me3-R2-SL370_S59_L005_R1_001_multi_sorted 975869 1704891 10613371 13427410 608470 1268159 17014522
H3K27me3-R2-SL371_S58_L005_R1_001_multi_sorted 985091 1574348 11554871 14246177 608470 1268159 17014522
H3K27me3-R2-SL372_S57_L005_R1_001_multi_sorted 407321 5302998 6941734 12796575 608470 1268159 17014522
H3K27me3-R2-SL3_S54_L005_R1_001_multi_sorted 390847 4690986 7121030 12321914 608470 1268159 17014522
WCE-CK2308_S28_L004_R1_001_multi_sorted 328969 685385 10015863 11173384 608470 1268159 17014522
WCE-CK6644_S27_L004_R1_001_multi_sorted 439694 886306 12605937 14081790 608470 1268159 17014522
WCE-SL362_S33_L004_R1_001_multi_sorted 500942 1008835 14665102 16343477 608470 1268159 17014522
WCE-SL363_S34_L004_R1_001_multi_sorted 480650 960033 13961544 15554349 608470 1268159 17014522
WCE-SL364_S35_L004_R1_001_multi_sorted 362352 740250 10406798 11650066 608470 1268159 17014522
WCE-SL365_S36_L004_R1_001_multi_sorted 418786 836007 12111095 13505846 608470 1268159 17014522
WCE-SL366_S37_L004_R1_001_multi_sorted 401837 809686 11543286 12888794 608470 1268159 17014522
WCE-SL367_S38_L004_R1_001_multi_sorted 431014 864788 12637642 14080114 608470 1268159 17014522
WCE-SL368_S39_L004_R1_001_multi_sorted 349251 679421 10015287 11146604 608470 1268159 17014522
WCE-SL369_S32_L004_R1_001_multi_sorted 382104 755366 11222262 12502608 608470 1268159 17014522
WCE-SL370_S31_L004_R1_001_multi_sorted 382265 790135 11332196 12662355 608470 1268159 17014522
WCE-SL371_S30_L004_R1_001_multi_sorted 382564 786061 11272786 12597279 608470 1268159 17014522
WCE-SL372_S29_L004_R1_001_multi_sorted 392034 798232 11583484 12919878 608470 1268159 17014522
WCE-SL3_S26_L004_R1_001_multi_sorted 337880 669888 9674530 10785523 608470 1268159 17014522
