strain,hist,rpkm_cen,rpkm_tel,rpkm_not,tel_norm,cen_norm
CK2308,R1,151.52430159597083,107.82639018341642,44.72849975568028,63.09789042773614,106.79580184029055
CK6644,R1,52.865283886882224,48.08758114284052,52.81885251717564,-4.7312713743351225,0.046431369706581904
SL362,R1,85.4374474879016,206.9808462968622,39.723245873219724,167.2576004236425,45.71420161468187
SL363,R1,85.9347214275442,252.92094911558502,36.178677881958976,216.74227123362604,49.75604354558523
SL364,R1,118.00924604793741,150.43657801488044,42.698161165131076,107.73841684974937,75.31108488280634
SL365,R1,52.51093441490043,379.91388204518375,27.667520057378976,352.2463619878048,24.843414357521457
SL366,R1,50.094210584376924,336.1277009536898,31.3039917103022,304.8237092433876,18.790218874074725
SL367,R1,50.43309877848503,342.5890984415994,30.63815093933222,311.9509475022672,19.79494783915281
SL368,R1,66.45267780516839,326.2747685410319,31.490790735198292,294.7839778058336,34.9618870699701
SL369,R1,122.97469555512956,86.84976891745114,47.337133672085834,39.51263524536531,75.63756188304373
SL370,R1,123.48488754573215,103.19656881901408,46.03823601651644,57.15833280249763,77.4466515292157
SL371,R1,117.68816038172916,90.0790650642667,47.28461028027454,42.79445478399216,70.40355010145461
SL372,R1,50.46257123581461,411.8930370033638,25.68931857054304,386.2037184328208,24.773252665271567
SL3,R1,53.40093776880065,279.4739637989609,35.54499671910244,243.92896707985844,17.85594104969821
CK2308,R2,136.8615740845261,98.23991059268666,45.882335064046735,52.35757552863992,90.97923902047935
CK6644,R2,52.3823681315675,48.09626987454867,52.79190811983657,-4.695638245287903,-0.4095399882690671
SL362,R2,83.05229974393603,185.38618343745011,41.43930800636152,143.94687543108859,41.61299173757451
SL363,R2,88.1143091853183,275.1979682321598,34.52444254449296,240.67352568766682,53.58986664082534
SL364,R2,106.61501270821616,131.8229767341647,44.54584435097101,87.2771323831937,62.06916835724515
SL365,R2,52.72692475348144,358.9563335162231,28.814178121867247,330.1421553943558,23.912746631614194
SL366,R2,51.150543313797506,305.94772687971493,33.48200537729045,272.46572150242446,17.668537936507057
SL367,R2,50.79416725792713,334.76214466259495,31.289917612885304,303.47222704970966,19.504249645041824
SL368,R2,66.33590129583439,319.9812963859846,31.94401056160693,288.03728582437765,34.39189073422746
SL369,R2,120.28260777103269,85.19589871183648,47.34114782731107,37.85475088452541,72.94145994372161
SL370,R2,119.44283459336137,100.12226362901065,46.45594970664803,53.66631392236262,72.98688488671334
SL371,R2,113.64199383328332,87.14223465667415,47.67020425270364,39.47203040397051,65.97178958057968
SL372,R2,52.31230835135787,326.7789016676729,31.882654202850002,294.8962474648229,20.42965414850787
SL3,R2,52.130205727675396,300.2010834325231,33.966037861973795,266.2350455705493,18.1641678657016
